,A,$x_0$,w,assigned
162,0.0831613907312999,37064.88053093263,0.0713635755629252,False
163,0.094112846129754,37064.42792006715,0.0797278937626182,False
164,0.0448158237038894,37026.83520485779,0.063333486626349,False
165,0.0365696005143547,37025.43501762226,0.0732408023179259,False
166,0.0363746302559348,36687.703583455565,0.0892041738881673,False
167,0.0793590313256832,36658.11364910554,0.0818925120256731,False
170,0.1448689844267769,36572.92770556325,0.1065322511296609,True
171,0.50105335872027,36469.3032586267,0.0792234489365745,True
172,0.9477032995359216,36465.02060082472,0.0818267715656818,True
173,0.5585900477910033,36463.35535146015,0.0792335267576228,True
174,0.0307820187932704,36432.52002910229,0.0792212729531667,False
175,0.088882133691375,36170.86383686462,0.0782511016264331,False
176,0.0653354065598681,35949.32152184947,0.0932739236105601,False
177,0.3550511405831328,35839.9961100834,0.0750591693640067,False
178,0.0354472864157273,35733.8846958528,0.0949817935067554,True
179,0.0310496379797178,35733.65984554896,0.0666546912562725,True
180,0.0269816887275252,35651.838283706566,0.0724336154598147,False
181,0.0184268698546108,35648.06474551691,0.0672713743473533,False
191,0.0438623148832039,35564.92514603688,0.0744679761860216,False
192,0.1033799376680078,35562.60258436853,0.0792712995092138,False
193,0.0421271878622009,35558.81261663287,0.0693071478059962,False
194,0.0191258633146561,35530.891404100905,0.068204013442346,False
195,0.0221335636697039,35471.84224367301,0.0739709272258145,False
196,0.8496751353466294,35452.18350407828,0.0820812511119088,True
198,0.9341517522648792,35446.08151806606,0.0825157712631588,True
199,0.0238751341848102,35395.65278870542,0.070611721331299,False
200,0.1017765119550274,35323.626321391326,0.0759860237447364,True
201,0.20440572253992,35318.93270311747,0.0798190998899728,True
202,0.1509571825444356,35317.85129746997,0.0775040400315174,True
203,0.051690178971707,35283.118068103475,0.0717644206681557,True
204,0.121953828547995,35280.81460402746,0.0760712689173984,True
205,0.0628346941941112,35277.07204583818,0.0714295816228833,True
206,0.0451722896847762,35178.30208582354,0.0781201793750862,False
207,0.0275698018682146,35176.93529182588,0.0661330641654873,False
